,distance,iDiversity,oDiversity,candidate
0,0.319524931,0.319524931,0.319524931,0.319524931
1,-4.944123774,-4.944123774,-4.944123774,-4.944123774
2,7.406457428,7.406457428,7.406457428,7.406457428
3,6.893474819,6.893474819,6.893474819,6.893474819
4,7.891713933,7.891713933,7.891713933,7.891713933
5,0.01535136969,0.01535136969,0.01535136969,6.597716218
6,3.44161984,3.44161984,3.44161984,-7.162531898
7,9.319455507,9.319455507,9.319455507,-0.7373945805
8,-0.5330762426,-0.5330762426,-0.5330762426,5.688292194
9,9.088428846,9.088428846,9.088428846,-7.211921765
10,9.920143297,9.920143297,9.920143297,-6.065602999
11,-6.761413426,-6.761413426,-6.761413426,4.51218076
12,8.629676437,8.629676437,8.629676437,-5.14941262
13,7.602348128,7.602348128,7.602348128,5.603952117
14,8.282261427,8.282261427,8.282261427,4.808939647
15,-4.671656761,-4.671656761,-4.671656761,7.657569543
16,6.351404348,6.351404348,6.351404348,-7.211508434
17,-5.766556021,-5.766556021,-5.766556021,-1.676640034
18,7.28691941,7.28691941,7.28691941,9.019285059
19,9.380024663,9.380024663,9.380024663,-3.139299498
20,-5.686931099,-5.686931099,-5.686931099,7.324493223
21,1.957920333,1.957920333,1.957920333,-8.038485076
22,-2.380535882,-2.380535882,-2.380535882,-9.516892116
23,11.60800245,11.60800245,11.60800245,11.60800245
24,14.30620011,14.30620011,14.30620011,14.30620011
25,17.00439777,17.00439777,17.00439777,17.00439777
26,19.70259543,19.70259543,19.70259543,19.70259543
27,22.40079308,22.40079308,22.40079308,22.40079308
28,4.251494291,4.251494291,4.251494291,-3.756058454
29,-6.258031896,-6.258031896,-6.258031896,3.471021674
30,5.321847762,5.321847762,5.321847762,-6.464210055
31,5.180471497,5.180471497,5.180471497,3.363577011
32,7.348927107,7.348927107,7.348927107,-4.148830508
33,3.009313479,3.009313479,3.009313479,3.423585473
34,6.736979476,6.736979476,6.736979476,1.51820235
35,8.189368458,8.189368458,8.189368458,-3.306306255
36,-5.469081613,-5.469081613,-5.469081613,-0.7394763575
37,-9.163881231,-9.163881231,-9.163881231,8.311580807
38,-1.075417253,-1.075417253,-1.075417253,-4.497604347
39,8.745551591,8.745551591,8.745551591,-9.365895754
40,9.230982119,9.230982119,9.230982119,-5.598771514
41,-3.497947137,-3.497947137,-3.497947137,-1.232054664
42,-9.741615029,-9.741615029,-9.741615029,-1.930870641
43,-9.475150908,-9.475150908,-9.475150908,1.747804766
44,-7.714134729,-7.714134729,-7.714134729,-5.603632384
45,1.049567432,1.049567432,1.049567432,-5.320421471
46,25.09899074,25.09899074,25.09899074,25.09899074
47,27.7971884,27.7971884,27.7971884,27.7971884
48,30.49538606,30.49538606,30.49538606,30.49538606
49,33.19358372,33.19358372,33.19358372,33.19358372
50,35.89178138,35.89178138,35.89178138,35.89178138
51,-7.488366679,-7.488366679,-7.488366679,-6.583691176
52,3.449347733,3.449347733,3.449347733,5.788447841
53,-4.226492049,-4.226492049,-4.226492049,-7.851949328
54,4.198260335,4.198260335,4.198260335,-1.593737664
55,6.39218659,6.39218659,6.39218659,9.526638029
56,-6.54624814,-6.54624814,-6.54624814,8.237232577
57,-0.8941111766,-0.8941111766,-0.8941111766,4.900933783
58,-9.467894242,-9.467894242,-9.467894242,-9.693425236
59,-0.7465484218,-0.7465484218,-0.7465484218,-1.522013201
60,0.8815949394,0.8815949394,0.8815949394,5.186649058
61,3.688406477,3.688406477,3.688406477,-6.83542195
62,-4.505180358,-4.505180358,-4.505180358,-9.414919814
63,-8.502110469,-8.502110469,-8.502110469,2.958614849
64,4.579792159,4.579792159,4.579792159,0.1576152357
65,-6.35115898,-6.35115898,-6.35115898,2.144686295
66,6.826302287,6.826302287,6.826302287,7.275863299
67,-6.556277682,-6.556277682,-6.556277682,-3.868589648
68,-9.579832655,-9.579832655,-9.579832655,-3.950150275
69,38.58997904,38.58997904,38.58997904,38.58997904
70,41.2881767,41.2881767,41.2881767,41.2881767
71,43.98637436,43.98637436,43.98637436,43.98637436
72,46.68457202,46.68457202,46.68457202,46.68457202
73,49.38276968,49.38276968,49.38276968,49.38276968
74,-5.544640462,-5.544640462,-5.544640462,-6.772241967
75,0.2957434874,0.2957434874,0.2957434874,-3.396753287
76,2.804373466,2.804373466,2.804373466,6.698345139
77,-7.238253336,-7.238253336,-7.238253336,5.663579357
78,-1.315573178,-1.315573178,-1.315573178,8.083256345
79,9.934643354,9.934643354,9.934643354,9.011320828
80,4.434088427,4.434088427,4.434088427,-8.651627931
81,-4.722224398,-4.722224398,-4.722224398,-0.9060238842
82,-1.234107057,-1.234107057,-1.234107057,-1.408089795
83,-7.554353776,-7.554353776,-7.554353776,1.829693899
84,8.622082127,8.622082127,8.622082127,-7.270979374
85,3.606559244,3.606559244,3.606559244,-8.211999413
86,-9.776064338,-9.776064338,-9.776064338,2.078288821
87,3.060749753,3.060749753,3.060749753,7.843647833
88,1.971465749,1.971465749,1.971465749,2.663987296
89,-3.554609582,-3.554609582,-3.554609582,-6.83340028
90,5.748936311,5.748936311,5.748936311,3.220342565
91,-4.154894186,-4.154894186,-4.154894186,-2.037326956
92,52.08096734,52.08096734,52.08096734,52.08096734
93,54.779165,54.779165,54.779165,54.779165
94,57.47736266,57.47736266,57.47736266,57.47736266
95,60.17556032,60.17556032,60.17556032,60.17556032
96,62.87375798,62.87375798,62.87375798,62.87375798
97,5.778119417,5.778119417,5.778119417,-2.453966109
